Rank,Feature,Mean |SHAP|,Relative (%),Cumulative (%)
1,Copper_Price,0.3013,24.64,24.64
2,Home_Prices,0.12367,10.12,34.76
3,Fed_Funds_Rate,0.1205,9.86,44.62
4,Gasoline_Price_trend,0.11828,9.67,54.29
5,Import_Price_Index,0.0761,6.22,60.51
6,Oil_Price_seasonal,0.06288,5.14,65.66
7,Wheat_Price,0.06007,4.91,70.57
8,PPI,0.05484,4.49,75.06
9,VIX,0.03678,3.01,78.06
10,Wheat_Price_lag1m,0.02392,1.96,80.02
11,Oil_Price_trend,0.02288,1.87,81.89
12,Natural_Gas,0.02263,1.85,83.74
13,Oil_Price,0.02191,1.79,85.53
14,Yield_Spread,0.01907,1.56,87.09
15,Housing_Starts,0.01883,1.54,88.63
16,Retail_Sales,0.01683,1.38,90.01
17,Corporate_Spread,0.01471,1.2,91.21
18,Gasoline_Price_resid,0.01422,1.16,92.38
19,Treasury_10Y_resid,0.01192,0.98,93.35
20,Treasury_10Y,0.01119,0.92,94.27
21,VIX_trend,0.01115,0.91,95.18
22,Treasury_10Y_seasonal,0.00973,0.8,95.97
23,Unemployment_Rate,0.0091,0.74,96.72
24,VIX_seasonal,0.00762,0.62,97.34
25,VIX_resid,0.00759,0.62,97.96
26,Treasury_10Y_trend,0.0061,0.5,98.46
27,Gasoline_Price,0.00609,0.5,98.96
28,Industrial_Production,0.00552,0.45,99.41
29,Gasoline_Price_seasonal,0.00444,0.36,99.77
30,Treasury_2Y,0.0027,0.22,99.99
31,Oil_Price_resid,7e-05,0.01,100.0
